DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2003-0783-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000buu9,,TUR,Türkiye,Western Asia,Asia,"Seferihisar, Konak districts (Izmir province)",,,No,No,No,,5.8,Richter,38.221,26.958,,2003,4,10,2003,4,10,,170,,,170,,,,,,,62.8584595,"[{""adm2_code"":27937,""adm2_name"":""Konak""},{""adm2_code"":27942,""adm2_name"":""Seferihisar""}]",2004-03-09,2023-09-25
2004-0001-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cgss,,IDN,Indonesia,South-eastern Asia,Asia,"Kota Mataram, Lombok Barat districts (Nusatenggara Barat), Klungkung, Karangasem districts (Bali province)",,,No,No,No,,5.8,Richter,-8.31,115.788,,2004,1,1,2004,1,1,1,40,30000,,30040,,,,,12000,18593,64.54132928,"[{""adm2_code"":17974,""adm2_name"":""Karangasem""},{""adm2_code"":17975,""adm2_name"":""Klungkung""},{""adm2_code"":18145,""adm2_name"":""Lombok Barat""},{""adm2_code"":73736,""adm2_name"":""Kota Mataram""}]",2014-02-25,2023-09-25
2004-0011-DZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000chm5,,DZA,Algeria,Northern Africa,Africa,"Alger, Boumerdes provinces",,,No,No,No,,4.5,Richter,36.852,3.418,,2004,1,10,2004,1,10,,300,,,300,,,,,,,64.54132928,"[{""adm1_code"":344,""adm1_name"":""Alger""},{""adm1_code"":353,""adm1_name"":""Boumerdes""}]",2014-03-26,2023-09-25
2004-0040-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ckg7,,IDN,Indonesia,South-eastern Asia,Asia,Nabire district (Papua province),,Fire,Yes,No,No,211,7,Richter,-3.615,135.538,,2004,2,5,2004,2,5,37,682,13390,,14072,,,41,64,1000,1549,64.54132928,"[{""adm2_code"":73808,""adm2_name"":""Nabire""}]",2007-11-08,2023-09-25
2004-0054-PAK,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cm59,,PAK,Pakistan,Southern Asia,Asia,"Bisham Tehsil area (Shangla District district, North-West Frontier province), Batagram District, Mansehra District, Kohistan District districts (North-West Frontier province)",,"Slide (land, mud, snow, rock)",Yes,No,No,90,5.5,Richter,34.774,73.216,,2004,2,14,2004,2,14,24,63,10765,2320,13148,,,,,,,64.54132928,"[{""adm2_code"":40331,""adm2_name"":""Batagram District""},{""adm2_code"":40340,""adm2_name"":""Kohistan District""},{""adm2_code"":40344,""adm2_name"":""Mansehra District""},{""adm2_code"":40348,""adm2_name"":""Shangla District""}]",2005-11-30,2023-09-25
2004-0073-MAR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cmxe,,MAR,Morocco,Northern Africa,Africa,"Tamassint village (Imrabten area, Bni Ouriagh sub-district, Al Hoceima district, Taza - Al Hoceima - Taounate province), Ajdir village (Ait Youssef Ouali area, Bni Ouriagh sub-district, Al Hoceima district, Taza - Al Hoceima - Taounate province), Ait Kamra, Bni Abdallah areas (Bni Ouriagh sub-district, Al Hoceima district, Taza - Al Hoceima - Taounate province), Imzouren sub-district (Al Hoceima district, Taza - Al Hoceima - Taounate province)",,,Yes,No,No,13218,6.4,Richter,35.142,-3.997,,2004,2,24,2004,2,24,628,926,,12539,13465,,,,,400000,619758,64.54132928,"[{""adm2_code"":21787,""adm2_name"":""Al Hoceïma""}]",2007-11-08,2023-09-25
2004-0088-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cmbk,,IDN,Indonesia,South-eastern Asia,Asia,Kota Padangpanjang district (Sumatera Barat province),,,No,No,No,,5.1,Richter,-0.466,100.655,,2004,2,16,2004,2,16,5,7,500,,507,,,,,,,64.54132928,"[{""adm2_code"":18205,""adm2_name"":""Kota Padangpanjang""}]",2004-03-03,2023-09-25
2004-0126-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cqr9,,CHN,China,Eastern Asia,Asia,"Xiwuzhumuqin Qi area (Xilin Gol district, Nei Mongol Zizhiqu province)",,,No,No,No,,5.5,Richter,45.382,118.256,,2004,3,24,2004,3,24,,100,190000,,190100,,,,,74000,114655,64.54132928,"[{""adm2_code"":13198,""adm2_name"":""Xilin Gol""}]",2014-03-11,2023-09-25
2004-0127-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cqvt,,TUR,Türkiye,Western Asia,Asia,"Askale, Buyukgecit, Kucukgecit, Karabiyik, Kandilli villages (Askale district, Erzurum province)",,,No,No,No,,5.6,Richter,39.93,40.812,,2004,3,25,2004,3,25,9,30,4000,,4030,,,,,,,64.54132928,"[{""adm2_code"":27780,""adm2_name"":""Askale""}]",2004-06-18,2023-09-25
2004-0132-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cr2z,,TUR,Türkiye,Western Asia,Asia,"Askale, Ilica, Cat districts (Erzurum province)",,"Slide (land, mud, snow, rock)",No,No,No,,5.6,Richter,39.847,40.874,,2004,3,28,2004,3,28,,30,32500,,32530,,,,,,,64.54132928,"[{""adm2_code"":27780,""adm2_name"":""Askale""},{""adm2_code"":27781,""adm2_name"":""Cat""},{""adm2_code"":27784,""adm2_name"":""Ilica""}]",2004-06-18,2023-09-25
2004-0147-TJK,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cy53,,TJK,Tajikistan,Central Asia,Asia,"Karabuin village (Penjikenskiy district,Sogd province)",,"Slide (land, mud, snow, rock)",No,No,No,,4.3,Richter,39.57,67.479,,2004,4,1,2004,4,1,,,180,,180,,,,,,,64.54132928,"[{""adm2_code"":37612,""adm2_name"":""Penjikenskiy""}]",2014-02-28,2023-09-25
2004-0234-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cwf9,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Nour, Baladeh cities (Nur district, Mazandaran province), Alamout area (Qasr-e shirin district, Ghazvin province), Taleghan area (Savojbolagh district, Tehran province), Chalus, Noshahr districts (Mazandaran province)",,"Slide (land, mud, snow, rock)",No,No,No,,6.3,Richter,36.29,51.61,,2004,5,28,2004,5,28,35,278,220,,498,,,59000,91414,165000,255650,64.54132928,"[{""adm2_code"":40919,""adm2_name"":""Chalus""},{""adm2_code"":41054,""adm2_name"":""Noshahr""},{""adm2_code"":41055,""adm2_name"":""Nur""},{""adm2_code"":41096,""adm2_name"":""Savojbolagh""},{""adm2_code"":41065,""adm2_name"":""Qasr-e shirin""}]",2014-03-07,2023-09-25
2004-0250-RUS,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000cwkb,,RUS,Russian Federation,Eastern Europe,Europe,Tatarsky Bay (Sakhalin Isl.) (Sakhalinskaya Oblast Province),,,No,No,No,,4.9,Richter,47.311,142.12,,2004,5,31,2004,5,31,,,138,,138,,,,,,,64.54132928,"[{""adm1_code"":2552,""adm1_name"":""Sakhalinskaya Oblast""}]",2004-06-18,2023-09-25
2004-0308-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000czcr,,TUR,Türkiye,Western Asia,Asia,Dogubeyazit district (Agri province),,,No,No,No,,5.1,Richter,39.766,43.979,,2004,7,1,2004,7,1,18,21,335,,356,,,,,,,64.54132928,"[{""adm2_code"":27489,""adm2_name"":""Dogubeyazit""}]",2004-08-24,2023-09-25
2004-0406-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d1w5,,CHN,China,Eastern Asia,Asia,"Ludian Xian area (Zhaotong district, Yunnan Sheng province)",,,No,No,No,,5.4,Richter,27.266,103.873,,2004,8,10,2004,8,10,4,600,,120000,120600,,,,,50000,77470,64.54132928,"[{""adm2_code"":13306,""adm2_name"":""Zhaotong""}]",2005-06-27,2023-09-25
2004-0426-COL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d2cd,,COL,Colombia,Latin America and the Caribbean,Americas,Sotara district (Cauca province),,,No,No,No,,5.1,Richter,2.265,-76.595,,2004,8,18,2004,8,18,1,2,,500,502,,,,,,,64.54132928,"[{""adm2_code"":13753,""adm2_name"":""Sotara""}]",2004-08-20,2023-09-25
2004-0436-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d0du,,AFG,Afghanistan,Southern Asia,Asia,Paktya province,,,No,No,No,,5.2,Richter,33.426,69.524,,2004,7,18,2004,7,18,2,40,,1000,1040,,,,,,,64.54132928,"[{""adm1_code"":296,""adm1_name"":""Paktya""}]",2004-08-24,2023-09-25
2004-0522-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d6mj,,CHN,China,Eastern Asia,Asia,Baoshan district (Yunnan Sheng province),,,No,No,No,,4.8,Richter,25.073,99.169,,2004,10,18,2004,10,18,,12,100000,,100012,,,,,,,64.54132928,"[{""adm2_code"":13313,""adm2_name"":""Baoshan""}]",2014-03-11,2023-09-25
2004-0532-JPN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d6vk,,JPN,Japan,Eastern Asia,Asia,"Odiyasi, Nagaokasi, Tookamatisi districts (Niigata province) ",,"Fire|Slide (land, mud, snow, rock)",Yes,No,No,49,6.6,Richter,37.226,138.779,,2004,10,23,2004,10,23,40,3183,59000,,62183,,,760000,1177540,28000000,43383054,64.54132928,"[{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm2_code"":35546,""adm2_name"":""Nagaokasi""},{""adm2_code"":35558,""adm2_name"":""Odiyasi""},{""adm2_code"":35583,""adm2_name"":""Tookamatisi""}]",2011-04-27,2023-09-25
2004-0562-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d85g,,IDN,Indonesia,South-eastern Asia,Asia,Alor district (Nusatenggara Timur province),,"Slide (land, mud, snow, rock)",Yes,Yes,No,1614,7.5,Richter,-8.152,124.868,,2004,11,11,2004,11,11,33,311,83070,,83381,,,,,,,64.54132928,"[{""adm2_code"":18149,""adm2_name"":""Alor""}]",2005-04-12,2023-09-25
2004-0571-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d3us,,CHN,China,Eastern Asia,Asia,Gansu Sheng province,,,No,No,No,,5.2,Richter,34.682,103.781,,2004,9,7,2004,9,7,,19,19000,3000,22019,,,,,,,64.54132928,"[{""adm1_code"":902,""adm1_name"":""Gansu Sheng""}]",2004-11-15,2023-09-25
2004-0575-COL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d8gx,,COL,Colombia,Latin America and the Caribbean,Americas,"Litoral de San Juan, Litoral de San Juan (is.), Bajo Baudo (is.), Bajo Baudo (pizzaro) districts (Choco province), Cali, Buenaventua, Buenaventura (is.), El Cerrito, Restrepo, Zarzal, Bugalagrande, Calima (darien), Vijes districts (Valle del Cauca province)",,,No,No,No,,7.2,Richter,4.695,-77.508,,2004,11,15,2004,11,15,,20,8016,,8036,,,,,,,64.54132928,"[{""adm2_code"":13788,""adm2_name"":""Bajo Baudo (is.)""},{""adm2_code"":13789,""adm2_name"":""Bajo Baudo (pizarro)""},{""adm2_code"":13797,""adm2_name"":""Litoral Del San Juan""},{""adm2_code"":13798,""adm2_name"":""Litoral Del San Juan (is.""},{""adm2_code"":14369,""adm2_name"":""Buenaventura""},{""adm2_code"":14370,""adm2_name"":""Buenaventura (is.)""},{""adm2_code"":14372,""adm2_name"":""Bugalagrande""},{""adm2_code"":14374,""adm2_name"":""Cali""},{""adm2_code"":14375,""adm2_name"":""Calima  (darien)""},{""adm2_code"":14381,""adm2_name"":""El Cerrito""},{""adm2_code"":14394,""adm2_name"":""Restrepo""},{""adm2_code"":14404,""adm2_name"":""Vijes""},{""adm2_code"":14407,""adm2_name"":""Zarzal""}]",2008-05-08,2023-09-25
2004-0582-DMA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d8w3,,DMA,Dominica,Latin America and the Caribbean,Americas,"St. Andrew, St. John, St. Joseph, St. Peter provinces",,,Yes,No,No,,6.3,Richter,15.679,-61.706,,2004,11,21,2004,11,21,,,100,,100,,,,,,,64.54132928,"[{""adm1_code"":1098,""adm1_name"":""St. Andrew""},{""adm1_code"":1101,""adm1_name"":""St. John""},{""adm1_code"":1102,""adm1_name"":""St. Joseph""},{""adm1_code"":1107,""adm1_name"":""St. Peter""}]",2005-02-03,2023-09-25
2004-0582-GLP,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d8w3,,GLP,Guadeloupe,Latin America and the Caribbean,Americas,"Basse-Terre, Terre-de-Bas, Saintes Isl.",,,No,No,No,,6.3,Richter,15.679,-61.706,,2004,11,21,2004,11,21,1,13,100,40,153,,,,,,,64.54132928,"[{""adm2_code"":16736,""adm2_name"":""Administrative unit not available""}]",2005-02-03,2023-09-25
2004-0599-CRI,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d8tf,,CRI,Costa Rica,Latin America and the Caribbean,Americas,"San Jose, Puntarenas provinces",,"Slide (land, mud, snow, rock)",No,No,No,,6.4,Richter,9.602,-84.172,,2004,11,20,2004,11,20,8,,255,25,280,,,,,,,64.54132928,"[{""adm1_code"":986,""adm1_name"":""Puntarenas""},{""adm1_code"":987,""adm1_name"":""San Jose""}]",2014-03-25,2023-09-25
2004-0607-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d975,,IDN,Indonesia,South-eastern Asia,Asia,Nabire district (Papua province),,Fire,No,Yes,No,670,7.1,Richter,-3.609,135.404,,2004,11,26,2004,11,26,32,213,12620,,12833,,,,,55000,85217,64.54132928,"[{""adm2_code"":73808,""adm2_name"":""Nabire""}]",2005-04-12,2023-09-25
2004-0620-DZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000d9r7,,DZA,Algeria,Northern Africa,Africa,Boumerdes district (Boumerdes province),,,No,No,No,,4.5,Richter,36.848,3.448,,2004,12,1,2004,12,1,,15,,,15,,,,,,,64.54132928,"[{""adm2_code"":38071,""adm2_name"":""Boumerdes""}]",2005-01-03,2023-09-25
2004-0659-BGD,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,BGD,Bangladesh,Southern Asia,Asia,"Barisal, Chittagong, Khulna provinces",,,No,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,2,,,,,,,,,500000,774697,64.54132928,"[{""adm1_code"":575,""adm1_name"":""Barisal""},{""adm1_code"":576,""adm1_name"":""Chittagong""},{""adm1_code"":578,""adm1_name"":""Khulna""}]",2014-03-27,2023-09-25
2004-0659-IDN,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,IDN,Indonesia,South-eastern Asia,Asia,"Nangroe Aceh Darussalam, Sumatera Utara provinces",,Tsunami/Tidal wave,No,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,165708,,,532898,532898,,,225000,348614,4451600,6897286,64.54132928,"[{""adm1_code"":1512,""adm1_name"":""Nangroe Aceh Darussalam""},{""adm1_code"":1537,""adm1_name"":""Sumatera Utara""}]",2014-03-27,2023-09-25
2004-0659-IND,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,IND,India,Southern Asia,Asia,"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",Earthquake,,Yes,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,16389,6913,647599,,654512,,,5000,7747,1022800,1584721,64.54132928,"[{""adm1_code"":1484,""adm1_name"":""Andaman and Nicobar""},{""adm2_code"":17551,""adm2_name"":""East Godavari""},{""adm2_code"":17552,""adm2_name"":""Guntur""},{""adm2_code"":17556,""adm2_name"":""Krishna""},{""adm2_code"":17561,""adm2_name"":""Nellore""},{""adm2_code"":17563,""adm2_name"":""Prakasam""},{""adm2_code"":17566,""adm2_name"":""Vishakhapatnam""},{""adm2_code"":17569,""adm2_name"":""West Godavari""},{""adm2_code"":17699,""adm2_name"":""Ernakulam""},{""adm2_code"":17707,""adm2_name"":""Kollam""},{""adm2_code"":70298,""adm2_name"":""Alappuzha""},{""adm2_code"":17866,""adm2_name"":""Thoothukudi""},{""adm2_code"":17870,""adm2_name"":""Kanniyakumari""},{""adm2_code"":17876,""adm2_name"":""Pudukkottai""},{""adm2_code"":17878,""adm2_name"":""Ramanathapuram""},{""adm2_code"":17881,""adm2_name"":""Thanjavur""},{""adm2_code"":17882,""adm2_name"":""Sivaganga""},{""adm2_code"":17884,""adm2_name"":""Tirunelveli Kattabo""},{""adm2_code"":70242,""adm2_name"":""Chennai""},{""adm2_code"":70243,""adm2_name"":""Cuddalore""},{""adm2_code"":70244,""adm2_name"":""Kancheepuram""},{""adm2_code"":70247,""adm2_name"":""Nagapattinam""},{""adm2_code"":70251,""adm2_name"":""Thiruvallur""},{""adm2_code"":70255,""adm2_name"":""Villupuram""},{""adm2_code"":70226,""adm2_name"":""Karaikal""},{""adm2_code"":70228,""adm2_name"":""Puducherry""}]",2014-03-27,2023-09-25
2004-0659-KEN,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,KEN,Kenya,Sub-Saharan Africa,Africa,Mombassa district (Coast province),,Tsunami/Tidal wave,No,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,1,,,,,,,,,100000,154939,64.54132928,"[{""adm2_code"":51344,""adm2_name"":""Mombasa""}]",2014-03-27,2023-09-25
2004-0659-LKA,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,LKA,Sri Lanka,Southern Asia,Asia,"Jaffna, Kilinochchi, Mullativu, Trincomalee, Batticaloa, Ampara, Hambantota, Matara, Galle, Kalutara, Colombo, Gampaha, Puttalam, Vavuniya districts",,,Yes,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,35399,23176,516130,480000,1019306,,,,,1316500,2039778,64.54132928,"[{""adm2_code"":25832,""adm2_name"":""Ampara""},{""adm2_code"":25833,""adm2_name"":""Batticaloa""},{""adm2_code"":25834,""adm2_name"":""Trincomalee""},{""adm2_code"":25838,""adm2_name"":""Puttalam""},{""adm2_code"":25839,""adm2_name"":""Jaffna""},{""adm2_code"":25840,""adm2_name"":""Kilinochchi""},{""adm2_code"":25842,""adm2_name"":""Mullattivu""},{""adm2_code"":25843,""adm2_name"":""Vavuniya""},{""adm2_code"":25846,""adm2_name"":""Galle""},{""adm2_code"":25847,""adm2_name"":""Hambantota""},{""adm2_code"":25848,""adm2_name"":""Matara""},{""adm2_code"":25851,""adm2_name"":""Colombo""},{""adm2_code"":25852,""adm2_name"":""Gampaha""},{""adm2_code"":25853,""adm2_name"":""Kalutara""}]",2014-03-27,2023-09-25
2004-0659-MDV,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,MDV,Maldives,Southern Asia,Asia,"Alifu Alifu, Alifu Dhaalu, Baa, Faafu, Gaafu Alifu, Gaafu Dhaalu, Haa Alifu, Haa Dhaalu, Kaafu, Laamu, Lhaviyani, Male', Meemu, Noonu, Raa, Seenu, Shaviyani, Thaa, Vaavu provinces",,Tsunami/Tidal wave,Yes,No,Yes,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,102,2214,12000,13000,27214,,,,,470100,728370,64.54132928,"[{""adm1_code"":1905,""adm1_name"":""Alifu Alifu""},{""adm1_code"":1906,""adm1_name"":""Alifu Dhaalu""},{""adm1_code"":1907,""adm1_name"":""Baa""},{""adm1_code"":1908,""adm1_name"":""Dhaalu""},{""adm1_code"":1909,""adm1_name"":""Faafu""},{""adm1_code"":1910,""adm1_name"":""Gaafu Alifu""},{""adm1_code"":1911,""adm1_name"":""Gaafu Dhaalu""},{""adm1_code"":1913,""adm1_name"":""Haa Alifu""},{""adm1_code"":1914,""adm1_name"":""Haa Dhaalu""},{""adm1_code"":1915,""adm1_name"":""Kaafu""},{""adm1_code"":1916,""adm1_name"":""Laamu""},{""adm1_code"":1917,""adm1_name"":""Lhaviyani""},{""adm1_code"":1918,""adm1_name"":""Male'""},{""adm1_code"":1919,""adm1_name"":""Meemu""},{""adm1_code"":1920,""adm1_name"":""Noonu""},{""adm1_code"":1921,""adm1_name"":""Raa""},{""adm1_code"":1922,""adm1_name"":""Seenu""},{""adm1_code"":1923,""adm1_name"":""Shaviyani""},{""adm1_code"":1924,""adm1_name"":""Thaa""},{""adm1_code"":1925,""adm1_name"":""Vaavu""}]",2014-03-27,2023-09-25
2004-0659-MMR,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,MMR,Myanmar,South-eastern Asia,Asia,"Kawthoung, Pyapon, Pathein districts (Ayeyawaddy province), Kawthoung district (Taninthayi province), Sittwe district (Rakhine province)",,,No,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,71,,12500,3200,15700,,,,,500000,774697,64.54132928,"[{""adm2_code"":41813,""adm2_name"":""Sittwe""},{""adm2_code"":41779,""adm2_name"":""Myaungmya""},{""adm2_code"":41780,""adm2_name"":""Pathein""},{""adm2_code"":41781,""adm2_name"":""Pyapon""},{""adm2_code"":41835,""adm2_name"":""Kawthoung""}]",2014-03-27,2023-09-25
2004-0659-MYS,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,MYS,Malaysia,South-eastern Asia,Asia,"Barat Daya, Timur Laut district (Pulau Pinang province)",,Tsunami/Tidal wave,Yes,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,80,767,,4296,5063,,,,,500000,774697,64.54132928,"[{""adm2_code"":37400,""adm2_name"":""Barat Daya""},{""adm2_code"":37404,""adm2_name"":""Timur Laut""}]",2014-03-27,2023-09-25
2004-0659-SOM,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,SOM,Somalia,Sub-Saharan Africa,Africa,"Hafun village (Iskushuban district, Bari province), Garacad village (Jariiban district, Mudug province), Eyl district (Nugaal province), Marka, Baraawe districts (Shabelle Hoose province)",,,Yes,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,298,283,104800,,105083,,,,,100000,154939,64.54132928,"[{""adm2_code"":25665,""adm2_name"":""Iskushuban""},{""adm2_code"":25692,""adm2_name"":""Baraawe""},{""adm2_code"":25694,""adm2_name"":""Marka""},{""adm2_code"":25708,""adm2_name"":""Jariiban""},{""adm2_code"":25711,""adm2_name"":""Eyl""}]",2014-03-27,2023-09-25
2004-0659-SYC,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,SYC,Seychelles,Sub-Saharan Africa,Africa,"Anse Aux Pins, Anse Boileau, Anse Etoile, Anse Royale, Au Cap, Baie Lazare, Beau Vallon, Bel Air, Belombre, Cascade, English River, Glacis, Grande Anse Mahe, La Digue, Les Mamelles, Mont Buxton, Mont Fleuri, Plaisance, Pointe Larue, Port Glaud, Praslin, Roche Caiman, St Louis, Takamaka provinces",Earthquake,,No,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,3,,4760,70,4830,,,,,30000,46482,64.54132928,"[{""adm1_code"":61137,""adm1_name"":""Anse Aux Pins""},{""adm1_code"":61138,""adm1_name"":""Anse Boileau""},{""adm1_code"":61139,""adm1_name"":""Anse Etoile""},{""adm1_code"":61140,""adm1_name"":""Anse Royale""},{""adm1_code"":61144,""adm1_name"":""Au Cap""},{""adm1_code"":61145,""adm1_name"":""Baie Lazare""},{""adm1_code"":61146,""adm1_name"":""Beau Vallon""},{""adm1_code"":61147,""adm1_name"":""Bel Air""},{""adm1_code"":61148,""adm1_name"":""Belombre""},{""adm1_code"":61153,""adm1_name"":""Cascade""},{""adm1_code"":61164,""adm1_name"":""English River""},{""adm1_code"":61168,""adm1_name"":""Glacis""},{""adm1_code"":61169,""adm1_name"":""Grand Anse Mahe""},{""adm1_code"":61178,""adm1_name"":""La Digue""},{""adm1_code"":61179,""adm1_name"":""Les Mamelles""},{""adm1_code"":61183,""adm1_name"":""Mont Buxton""},{""adm1_code"":61184,""adm1_name"":""Mont Fleuri""},{""adm1_code"":61188,""adm1_name"":""Plaisance""},{""adm1_code"":61190,""adm1_name"":""Pointe Larue""},{""adm1_code"":61192,""adm1_name"":""Port Glaud""},{""adm1_code"":61193,""adm1_name"":""Praslin""},{""adm1_code"":61196,""adm1_name"":""Roche Caiman""},{""adm1_code"":61200,""adm1_name"":""St Louis""},{""adm1_code"":61205,""adm1_name"":""Takamaka""}]",2014-03-27,2023-09-25
2004-0659-THA,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,THA,Thailand,South-eastern Asia,Asia,"Krabi, Phangnga, Phuket, Ranong, Satun, Trang provinces",,Tsunami/Tidal wave,Yes,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,8345,8457,58550,,67007,,,250000,387349,1000000,1549395,64.54132928,"[{""adm1_code"":2867,""adm1_name"":""Krabi""},{""adm1_code"":2889,""adm1_name"":""Phangnga""},{""adm1_code"":2898,""adm1_name"":""Phuket""},{""adm1_code"":2900,""adm1_name"":""Ranong""},{""adm1_code"":2910,""adm1_name"":""Satun""},{""adm1_code"":2920,""adm1_name"":""Trang""}]",2014-03-27,2023-09-25
2004-0659-TZA,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Dar-es-salaam,,,No,No,No,,9.1,Richter,3.295,95.982,,2004,12,26,2004,12,26,10,,,,,,,,,,,64.54132928,"[{""adm1_code"":48358,""adm1_name"":""Dar-es-salaam""}]",2014-03-27,2023-09-25
2004-0669-DEU,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000da1z,,DEU,Germany,Western Europe,Europe,"Waldkirch, Emmendingen towns (Freiburg district, Baden-Wuerttemberg Province)",,,No,No,No,,4.8,Richter,48.115,8.077,,2004,12,5,2004,12,5,,,150,,150,,,8000,12395,12000,18593,64.54132928,"[{""adm2_code"":16526,""adm2_name"":""Freiburg""}]",2005-02-02,2023-09-25
